t,rho,stored,prefetching,threshold
10.44,0.48,240,True,0.3
10.49,0.52,260,True,0.3
10.54,0.52,260,True,0.3
10.59,0.56,280,True,0.3
10.64,0.55,275,True,0.3
10.69,0.56,280,True,0.3
10.74,0.56,280,True,0.3
10.8,0.6,300,True,0.3
10.85,0.6,300,True,0.3
10.89,0.63,315,True,0.3
10.94,0.6,300,True,0.3
10.99,0.64,320,True,0.3
11.04,0.64,320,True,0.3
11.09,0.67,335,True,0.3
11.13,0.67,335,True,0.3
11.18,0.67,335,True,0.3
11.22,0.68,340,True,0.3
11.28,0.67,335,True,0.3
11.33,0.71,355,True,0.3
11.42,0.75,375,True,0.3
11.46,0.74,370,True,0.3
11.51,0.78,390,True,0.3
11.56,0.75,375,True,0.3
11.6,0.79,395,True,0.3
11.65,0.79,395,True,0.3
11.7,0.82,410,True,0.3
11.75,0.82,410,True,0.3
11.79,0.83,415,True,0.3
11.84,0.83,415,True,0.3
11.89,0.82,410,True,0.3
11.94,0.86,430,True,0.3
12.0,0.89,445,True,0.3
12.05,0.87,435,True,0.3
12.09,0.86,430,True,0.3
12.15,0.9,450,False,0.3
12.2,0.89,445,False,0.3
12.25,0.89,445,False,0.3
12.29,0.89,445,False,0.3
12.34,0.86,430,False,0.3
12.39,0.85,425,False,0.3
12.44,0.85,425,False,0.3
12.49,0.85,425,False,0.3
12.54,0.85,425,False,0.3
12.58,0.85,425,False,0.3
12.63,0.81,405,False,0.3
12.68,0.81,405,False,0.3
12.73,0.81,405,False,0.3
12.81,0.81,405,False,0.3
12.85,0.81,405,False,0.3
12.9,0.81,405,False,0.3
12.95,0.77,385,False,0.3
12.99,0.77,385,False,0.3
13.05,0.77,385,False,0.3
13.1,0.77,385,False,0.3
13.15,0.77,385,False,0.3
13.2,0.76,380,False,0.3
13.25,0.73,365,False,0.3
13.3,0.73,365,False,0.3
13.34,0.73,365,False,0.3
13.39,0.72,360,False,0.3
13.44,0.71,355,False,0.3
13.48,0.69,345,False,0.3
13.53,0.69,345,False,0.3
13.58,0.68,340,False,0.3
13.62,0.67,335,False,0.3
13.67,0.67,335,False,0.3
13.72,0.65,325,False,0.3
13.77,0.64,320,False,0.3
13.82,0.63,315,False,0.3
13.86,0.63,315,False,0.3
13.9,0.63,315,False,0.3
13.95,0.6,300,False,0.3
14.01,0.59,295,False,0.3
14.06,0.59,295,False,0.3
14.13,0.59,295,False,0.3
14.17,0.59,295,False,0.3
14.22,0.59,295,False,0.3
14.26,0.55,275,False,0.3
14.31,0.55,275,False,0.3
14.36,0.55,275,False,0.3
14.41,0.55,275,False,0.3
14.46,0.55,275,False,0.3
14.5,0.54,270,False,0.3
14.55,0.51,255,False,0.3
14.6,0.51,255,False,0.3
14.65,0.51,255,False,0.3
14.69,0.5,250,False,0.3
14.74,0.5,250,False,0.3
14.79,0.47,235,False,0.3
14.83,0.47,235,False,0.3
14.89,0.46,230,False,0.3
14.93,0.45,225,False,0.3
14.98,0.45,225,False,0.3
15.02,0.43,215,False,0.3
15.07,0.42,210,False,0.3
15.11,0.41,205,False,0.3
15.17,0.41,205,False,0.3
15.21,0.41,205,False,0.3
15.26,0.4,200,False,0.3
15.31,0.37,185,False,0.3
15.36,0.37,185,False,0.3
15.43,0.37,185,False,0.3
15.47,0.36,180,False,0.3
15.52,0.33,165,False,0.3
15.57,0.33,165,False,0.3
15.62,0.33,165,False,0.3
15.67,0.32,160,False,0.3
15.71,0.32,160,False,0.3
15.76,0.32,160,False,0.3
15.81,0.29,145,True,0.3
15.86,0.32,160,True,0.3
15.92,0.32,160,True,0.3
15.97,0.36,180,True,0.3
16.02,0.35,175,True,0.3
16.07,0.36,180,True,0.3
16.11,0.36,180,True,0.3
16.16,0.4,200,True,0.3
16.21,0.39,195,True,0.3
16.26,0.42,210,True,0.3
16.3,0.4,200,True,0.3
16.35,0.44,220,True,0.3
16.4,0.43,215,True,0.3
16.45,0.46,230,True,0.3
16.49,0.45,225,True,0.3
16.54,0.44,220,True,0.3
16.58,0.47,235,True,0.3
16.63,0.46,230,True,0.3
16.69,0.5,250,True,0.3
16.74,0.52,260,True,0.3
16.79,0.5,250,True,0.3
16.84,0.54,270,True,0.3
16.9,0.54,270,True,0.3
16.94,0.54,270,True,0.3
16.99,0.58,290,True,0.3
17.04,0.54,270,True,0.3
17.08,0.58,290,True,0.3
17.14,0.58,290,True,0.3
17.19,0.62,310,True,0.3
17.24,0.61,305,True,0.3
17.29,0.62,310,True,0.3
17.34,0.62,310,True,0.3
17.38,0.65,325,True,0.3
17.43,0.65,325,True,0.3
17.48,0.68,340,True,0.3
17.53,0.66,330,True,0.3
17.57,0.69,345,True,0.3
17.62,0.69,345,True,0.3
17.67,0.72,360,True,0.3
17.71,0.7,350,True,0.3
17.76,0.73,365,True,0.3
17.81,0.73,365,True,0.3
17.86,0.76,380,True,0.3
17.92,0.76,380,True,0.3
17.97,0.77,385,True,0.3
18.02,0.76,380,True,0.3
18.07,0.8,400,True,0.3
18.12,0.8,400,True,0.3
18.17,0.84,420,True,0.3
18.22,0.81,405,True,0.3
18.26,0.84,420,True,0.3
18.32,0.84,420,True,0.3
18.37,0.88,440,True,0.3
18.42,0.88,440,True,0.3
18.47,0.9,450,False,0.3
18.52,0.87,435,False,0.3
18.57,0.87,435,False,0.3
18.62,0.87,435,False,0.3
18.67,0.86,430,False,0.3
18.71,0.85,425,False,0.3
18.76,0.83,415,False,0.3
18.81,0.83,415,False,0.3
18.86,0.82,410,False,0.3
18.91,0.81,405,False,0.3
18.95,0.81,405,False,0.3
19.0,0.79,395,False,0.3
19.05,0.78,390,False,0.3
19.1,0.77,385,False,0.3
19.14,0.77,385,False,0.3
19.21,0.77,385,False,0.3
19.26,0.75,375,False,0.3
19.31,0.73,365,False,0.3
19.35,0.73,365,False,0.3
19.4,0.73,365,False,0.3
19.46,0.73,365,False,0.3
19.5,0.73,365,False,0.3
19.55,0.72,360,False,0.3
19.59,0.69,345,False,0.3
19.64,0.69,345,False,0.3
19.7,0.69,345,False,0.3
19.75,0.69,345,False,0.3
19.8,0.68,340,False,0.3
19.84,0.65,325,False,0.3
19.9,0.65,325,False,0.3
19.94,0.64,320,False,0.3
19.99,0.64,320,False,0.3
20.04,0.63,315,False,0.3
20.08,0.61,305,False,0.3
20.13,0.6,300,False,0.3
20.17,0.6,300,False,0.3
20.22,0.59,295,False,0.3
20.27,0.59,295,False,0.3
20.32,0.56,280,False,0.3
20.36,0.56,280,False,0.3
20.41,0.55,275,False,0.3
20.46,0.55,275,False,0.3
20.53,0.55,275,False,0.3
20.58,0.55,275,False,0.3
20.62,0.51,255,False,0.3
20.67,0.51,255,False,0.3
20.72,0.51,255,False,0.3
20.78,0.51,255,False,0.3
20.82,0.51,255,False,0.3
20.87,0.51,255,False,0.3
20.92,0.47,235,False,0.3
20.97,0.47,235,False,0.3
21.03,0.47,235,False,0.3
21.09,0.47,235,False,0.3
21.13,0.47,235,False,0.3
21.18,0.47,235,False,0.3
21.23,0.43,215,False,0.3
21.28,0.43,215,False,0.3
21.34,0.43,215,False,0.3
21.39,0.43,215,False,0.3
21.44,0.43,215,False,0.3
21.49,0.42,210,False,0.3
21.53,0.39,195,False,0.3
21.59,0.39,195,False,0.3
21.64,0.39,195,False,0.3
21.69,0.39,195,False,0.3
21.73,0.38,190,False,0.3
21.78,0.35,175,False,0.3
21.83,0.35,175,False,0.3
21.87,0.35,175,False,0.3
21.95,0.34,170,False,0.3
21.99,0.34,170,False,0.3
22.04,0.31,155,False,0.3
22.09,0.3,150,False,0.3
22.13,0.3,150,False,0.3
22.18,0.3,150,False,0.3
22.23,0.3,150,False,0.3
22.28,0.29,145,True,0.3
22.32,0.3,150,True,0.3
22.38,0.3,150,True,0.3
22.43,0.34,170,True,0.3
22.48,0.33,165,True,0.3
22.52,0.36,180,True,0.3
22.57,0.34,170,True,0.3
22.62,0.38,190,True,0.3
22.66,0.37,185,True,0.3
22.71,0.4,200,True,0.3
22.76,0.38,190,True,0.3
22.81,0.42,210,True,0.3
22.85,0.41,205,True,0.3
22.9,0.4,200,True,0.3
22.95,0.43,215,True,0.3
23.0,0.42,210,True,0.3
23.04,0.44,220,True,0.3
23.09,0.44,220,True,0.3
23.14,0.48,240,True,0.3
23.2,0.45,225,True,0.3
23.25,0.48,240,True,0.3
23.31,0.48,240,True,0.3
23.35,0.52,260,True,0.3
23.4,0.52,260,True,0.3
23.45,0.52,260,True,0.3
23.5,0.52,260,True,0.3
23.55,0.56,280,True,0.3
23.6,0.56,280,True,0.3
23.65,0.6,300,True,0.3
23.7,0.6,300,True,0.3
23.74,0.62,310,True,0.3
23.79,0.6,300,True,0.3
23.84,0.64,320,True,0.3
23.9,0.64,320,True,0.3
23.95,0.68,340,True,0.3
24.0,0.68,340,True,0.3
24.05,0.72,360,True,0.3
24.1,0.68,340,True,0.3
24.15,0.72,360,True,0.3
24.2,0.72,360,True,0.3
24.25,0.76,380,True,0.3
24.3,0.76,380,True,0.3
24.35,0.77,385,True,0.3
24.4,0.76,380,True,0.3
24.45,0.8,400,True,0.3
24.51,0.8,400,True,0.3
24.57,0.83,415,True,0.3
24.62,0.8,400,True,0.3
24.72,0.84,420,True,0.3
